bool                                             |logical
int                                              |integer
uint                                             |integer
short                                            |integer
ushort                                           |integer
QAbstractVideoSurface                            |QObject  |QtMultimedia
QAbstractVideoSurface::Error                     |enum     |QtMultimedia
QAbstractXmlNodeModel                            |object   |QtXmlPatterns
QAbstractXmlReceiver                             |object   |QtXmlPatterns
QAccessible                                      |object   |QtGui
QAccessible::Event                               |enum     |QtGui
QAccessible::Method                              |enum     |QtGui
QAccessible::Relation                            |enum     |QtGui
QAccessible::Role                                |enum     |QtGui
QAccessible::State                               |enum     |QtGui
QAccessible::Text                                |enum     |QtGui
QAccessibleBridge                                |object   |QtGui
QAccessibleBridgePlugin                          |QObject  |QtGui
QAccessibleEvent                                 |QEvent   |QtGui
QAccessibleEvent::Type                           |enum     |QtGui
QAccessibleInterface                             |object   |QtGui
QAccessibleInterface::Text                       |enum     |QtGui
QAccessibleObject                                |object   |QtGui
QAccessibleObject::Text                          |enum     |QtGui
QAccessiblePlugin                                |QObject  |QtGui
QAccessibleWidget                                |object   |QtGui
QAction                                          |QObject  |QtGui
QAction::ActionEvent                             |enum     |QtGui
QAction::MenuRole                                |enum     |QtGui
QAction::Priority                                |enum     |QtGui
QAction::SoftKeyRole                             |enum     |QtGui
QActionEvent                                     |QEvent   |QtGui
QActionGroup                                     |QObject  |QtGui
QAnimationGroup                                  |QObject  |QtCore
QApplication                                     |QObject  |QtGui
QApplication::Type                               |enum     |QtGui
QAtomicInt                                       |object   |QtCore
QAudio::Error                                    |enum     |QtCore
QAudio::Mode                                     |enum     |QtCore
QAudio::State                                    |enum     |QtCore
QAudioDeviceInfo                                 |object   |QtMultimedia
QAudioFormat                                     |object   |QtMultimedia
QAudioFormat::Endian                             |enum     |QtMultimedia
QAudioFormat::SampleType                         |enum     |QtMultimedia
QAudioInput                                      |QObject  |QtMultimedia
QAudioOutput                                     |QObject  |QtMultimedia
QAuthenticator                                   |object   |QtNetwork
QAxAggregated                                    |object   |ActiveQt
QAxBase                                          |object   |ActiveQt
QAxBindable                                      |object   |ActiveQt
QAxFactory                                       |QObject  |ActiveQt
QAxFactory::ServerType                           |enum     |ActiveQt
QAxObject                                        |QObject  |ActiveQt
QAxScript                                        |QObject  |ActiveQt
QAxScript::FunctionFlags                         |enum     |ActiveQt
QAxScriptEngine                                  |QObject  |ActiveQt
QAxScriptEngine::State                           |enum     |ActiveQt
QAxScriptManager                                 |QObject  |ActiveQt
QAxWidget                                        |QObject  |ActiveQt
QBasicAtomicInt                                  |object   |QtCore
QBasicTimer                                      |object   |QtCore
QBitArray                                        |object   |QtCore
QBitmap                                          |object   |QtGui
QBoxLayout                                       |QObject  |QtGui
QBoxLayout::Direction                            |enum     |QtGui
QBrush                                           |object   |QtGui
QBuffer                                          |QObject  |QtCore
QBuffer::OpenMode                                |enum     |QtCore
QButtonGroup                                     |QObject  |QtGui
QByteArray                                       |object   |QtCore
QByteArrayMatcher                                |object   |QtCore
QCalendarWidget                                  |QObject  |QtGui
QCalendarWidget::HorizontalHeaderFormat          |enum     |QtGui
QCalendarWidget::SelectionMode                   |enum     |QtGui
QCalendarWidget::VerticalHeaderFormat            |enum     |QtGui
QCDEStyle                                        |QObject  |QtGui
QChar                                            |object   |QtCore
QChar::Category                                  |enum     |QtCore
QChar::Decomposition                             |enum     |QtCore
QChar::Direction                                 |enum     |QtCore
QChar::Joining                                   |enum     |QtCore
QChar::SpecialCharacter                          |enum     |QtCore
